id_exemplar,codigo_barras,colecao,biblioteca,status_material,localizacao,registro_sistema,circulavel,grupo_cdd
42971,L193925,Acervo Circulante,Biblioteca Central Zila Mamede,REGULAR,004 C376a,17141,True,primario_004
958811,2011080386,Acervo Circulante,Biblioteca Setorial Prof. Rodolfo Helinski - Escola Agrícola de Jundiaí - EAJ - Macaiba,REGULAR,004.42 C233d,17152,True,primario_004
44452,X000857,Acervo Circulante,Biblioteca Central Zila Mamede,REGULAR,004  A838,17536,True,primario_004
44453,X009205,Acervo Circulante,Biblioteca Central Zila Mamede,REGULAR,004 A838,17536,True,primario_004
44451,X002794,Acervo Circulante,Biblioteca Central Zila Mamede,REGULAR,004  A838,17536,True,primario_004
44456,X002770,Acervo Circulante,Biblioteca Central Zila Mamede,ESPECIAL,004.382.7 C996m,17538,True,primario_004
959528,2011058174,Acervo de Desbaste,Biblioteca Central Zila Mamede,REGULAR,004.7 T164r,17573,True,primario_004
1210825,2016000411,Acervo Circulante,Biblioteca Setorial Prof. Rodolfo Helinski - Escola Agrícola de Jundiaí - EAJ - Macaiba,REGULAR,004.7 T164r,17573,True,primario_004
44598,L149858,Acervo de Desbaste,Biblioteca Central Zila Mamede,REGULAR,004.7 T164r,17573,True,primario_004
1109986,2014018742,Acervo Circulante,Biblioteca Setorial Prof. Rodolfo Helinski - Escola Agrícola de Jundiaí - EAJ - Macaiba,REGULAR,004.7 T164r,17573,True,primario_004
45864,L150027,Acervo Circulante,Biblioteca Central Zila Mamede,REGULAR,004 A334a,17886,True,primario_004
45863,L150026,Acervo de Desbaste,Biblioteca Central Zila Mamede,REGULAR,004 A334a,17886,True,primario_004
1369631,2022026117,Acervo Circulante,Biblioteca Setorial Prof. Rodolfo Helinski - Escola Agrícola de Jundiaí - EAJ - Macaiba,REGULAR,004.42 P118p 3.ed. v.1,18386,True,primario_004
1370348,2022027472,Acervo Circulante,Biblioteca Setorial Prof. Rodolfo Helinski - Escola Agrícola de Jundiaí - EAJ - Macaiba,REGULAR,004.42 P118p 3.ed. v.1,18386,True,primario_004
47976,9100151,Acervo Circulante,Biblioteca Setorial Prof. Horácio Nicolas Solimo - ­ Engenharia Química - EQ - CT,ESPECIAL,004.42 P118p 4.ed. v.1,18388,True,primario_004
47974,X000189,Acervo Circulante,Biblioteca Setorial Prof. Ronaldo Xavier de Arruda - CCET,ESPECIAL,004.43 P117p 4.ed.,18388,True,primario_004
47975,9100152,Acervo Circulante,Biblioteca Setorial Prof. Horácio Nicolas Solimo - ­ Engenharia Química - EQ - CT,REGULAR,004.42 P118p 4.ed. v.1,18388,True,primario_004
1258993,2017016843,Acervo Circulante,Biblioteca Setorial Prof. Rodolfo Helinski - Escola Agrícola de Jundiaí - EAJ - Macaiba,REGULAR,004.42 P118p 2.ed. v.1,18389,True,primario_004
1327984,2019019980,Acervo Circulante,Biblioteca Setorial Prof. Rodolfo Helinski - Escola Agrícola de Jundiaí - EAJ - Macaiba,REGULAR,004.42 P118p 2.ed. v.1,18389,True,primario_004
1252918,2017008983,Acervo Circulante,Biblioteca Setorial Prof. Rodolfo Helinski - Escola Agrícola de Jundiaí - EAJ - Macaiba,REGULAR,004.43 P118p 1.ed. v.1,18390,True,primario_004
49873,L150755,Acervo Circulante,Biblioteca Central Zila Mamede,REGULAR,004.42 H762b,18896,True,primario_004
785366,2000010796,Acervo Circulante,Biblioteca Setorial Prof. Rodolfo Helinski - Escola Agrícola de Jundiaí - EAJ - Macaiba,ESPECIAL,004.4 C652a 2.ed.,20932,True,primario_004
785438,2000010798,Acervo Circulante,Biblioteca Setorial Prof. Rodolfo Helinski - Escola Agrícola de Jundiaí - EAJ - Macaiba,REGULAR,004.4 C652a 2.ed.,20932,True,primario_004
785424,2000010797,Acervo Circulante,Biblioteca Setorial Prof. Rodolfo Helinski - Escola Agrícola de Jundiaí - EAJ - Macaiba,REGULAR,004.4 C652a 2.ed.,20932,True,primario_004
1060474,2011042062,Acervo Circulante,Biblioteca Central Zila Mamede,ESPECIAL,004.8 C738 1.ed.,20969,True,primario_004
1013041,2012032981,Acervo Circulante,Biblioteca Setorial Profª. Maria Lúcia da Costa Bezerra - ­CERES­ - Caicó,REGULAR,004.738.5.057.4 S846t v.3,21064,True,primario_004
1013010,2012032975,Acervo Circulante,Biblioteca Setorial Profª. Maria Lúcia da Costa Bezerra - ­CERES­ - Caicó,REGULAR,004.738.5.057.4 S846t v.2,21064,True,primario_004
1013036,2012032971,Acervo Circulante,Biblioteca Setorial Profª. Maria Lúcia da Costa Bezerra - ­CERES­ - Caicó,REGULAR,004.738.5.057.4 S846t 2.ed. v1,21064,True,primario_004
1013035,2012032970,Acervo Circulante,Biblioteca Setorial Profª. Maria Lúcia da Costa Bezerra - ­CERES­ - Caicó,REGULAR,004.738.5.057.4 S846t 2.ed. v1,21064,True,primario_004
1013011,2012032976,Acervo Circulante,Biblioteca Setorial Profª. Maria Lúcia da Costa Bezerra - ­CERES­ - Caicó,REGULAR,004.738.5.057.4 S846t v.2,21064,True,primario_004
899612,2010062781,Acervo Circulante,Biblioteca Central Zila Mamede,ESPECIAL,004.738.5.057.4 S846t v.1,21064,True,primario_004
